name,price,color,size,description,image,url
"Highlighter Pen, With Window, Orange",AED 9.00,Orange,,"Discover more to innovate and create new colours of life with this highlighter pen that will enliven your writing session. A highlighter pen that is easy to mark, comes with a small window to the pen tip that helps to keep the tip perfect. Comfortable to hold and easy to highlight, it features double-sided with a broad and fine tip. Indulge in bright orange colour, the right shade to attract your attention.",https://media.alshaya.com/adobe/assets/urn:aaid:aem:487610c6-0236-418d-9978-41cecfb9ec04/as/SK-J-4548718654529.jpg?width=638&height=638&preferwebp=true,https://www.muji.ae/en/buy-highlighter-pen-window-orange-orange.html
"High Lighter Pen, Pink",AED 12.00,PINK,,"Simple and fun crafts using the highlighter pen can be a great way to increase creativity and keep your kids engaged and entertained. Featuring a push-type function, this highlighter pen can easily be used with one hand. For refills, use the recommended polypropylene push-type highlighter pen (pink) refills. Perfect for bullet journals, note-taking, school works, or for teachers who use colour code annotations. this highlighter pen is also easy to carry in your pocket or pouch.",https://media.alshaya.com/adobe/assets/urn:aaid:aem:78d09c34-100a-4f31-9ee2-c2c98dbe583b/as/SK-J-4548718121939.jpg?width=638&height=638&preferwebp=true,https://www.muji.ae/en/buy-high-lighter-pen-pink-pink.html
"Pencil Sharpener, White",AED 12.00,White,,"Small and compact with a lid, this pencil sharpener is easy to carry around and can be used at any time. A must-have addition to the stationery of your kids or for your office, this compact pencil sharpener is easy to put in a pen case. This sharpener comes in a durable and long-lasting polystyrene material and the blade is made of stainless steel that keeps up its sharpness longer.",https://media.alshaya.com/adobe/assets/urn:aaid:aem:24557cd8-870f-4b88-a6e2-8b7ae56746ea/as/SK-J-4548076369479.jpg?width=638&height=638&preferwebp=true,https://www.muji.ae/en/buy-pencil-sharpener-white-white.html
"Double Sided Scale Ruler, 15 Cm, Black",AED 12.00,Black,,"The perfect tool for tailor, artist, engineer, machinist, home, and office users alike, this double-sided scale ruler is designed with precise measurements and a clear scale that is easy to read. It comes with outline characters on a black background and the front side is graduated from the left and the backside is graduated from the right. This 15cm ruler comes in black colour. Durable and long-lasting, it is made from abs resin that offers superior quality.",https://media.alshaya.com/adobe/assets/urn:aaid:aem:f25bc988-68de-4eaf-92a8-acbfb9d813ab/as/SK-J-4547315916153.jpg?width=638&height=638&preferwebp=true,https://www.muji.ae/en/buy-double-sided-scale-ruler-15-cm-black-black.html
"Cutter For Left-Handed People, L 13 Cm, Multicolor",AED 19.00,Multi,,"Light and strong in a slim design, this cutter for left-handed people allows you to easily cut. The handle adopts an ergonomic design that is comfortable to hold. The blade is retractable and easy to use. Convenient to carry, this cutter is easy to use even for left-handed people by changing the direction of the blade. Durable and long-lasting, it is made from 18-8 stainless steel for long-lasting performance.",https://media.alshaya.com/adobe/assets/urn:aaid:aem:58334f2c-49d6-4d2e-9c4d-b60c78904e65/as/SK-J-4547315822928.jpg?width=638&height=638&preferwebp=true,https://www.muji.ae/en/buy-cutter-left-handed-people-l-13-cm-multicolor-multicolor.html
"Craft Paper Envelope, B5, 50 Pieces, Beige",AED 9.00,Beige,,"Ideally used for storage of coin, bills, receipts or other small papers that are easy to lose, this craft paper envelope is also perfect to meet your needs for mailing. These small envelopes come with flaps for convenient closure. These B5 size envelopes are available as a pack of 50 Pieces. It comes in the usual beige colour. Made of superior craft paper, it comes with a good texture that is durable, not easy to fade, and do not tear off easily.",https://media.alshaya.com/adobe/assets/urn:aaid:aem:bcc8baf5-8615-41c1-a27c-2aa3ccefda59/as/SK-J-4547315525515.jpg?width=638&height=638&preferwebp=true,https://www.muji.ae/en/buy-craft-paper-envelope-b5-50-pieces-beige-beige.html
"Correction Pen, S, White",AED 19.00,White,,"Enabled with a perfectly designed needle-point tip, this correction pen offers precise application of fluid with ease. With a soft squeeze barrel, it lets you control the flow of the fluid making it easy to apply. Ideal for use on photocopies, faxes, or ink, it has a fast-drying fluid that instantly dries up and does not smudge on the paper. This S size correction pen is a great way to fix mistakes on paper.",https://media.alshaya.com/adobe/assets/urn:aaid:aem:c358aa1b-07c0-4793-b5ec-88c6c4592e80/as/SK-J-4547315138173.jpg?width=638&height=638&preferwebp=true,https://www.muji.ae/en/buy-correction-pen-s-white-white.html
"Mini Replacement Cutter Blade, W 3 X D 4.2 X H 1 Cm",AED 12.00,Silver Grey,,"These multi-purpose mini replacement cutter blade comes with a case that can store the blade conveniently. Specially designed, it can be folded at the blade folding part as it is and can be used by folding the blade 3 times. This mini replacement cutter blade features a dimension of 3 x 4.2 x 1 cm. These blades are made from durable carbon steel that assures to deliver the best in terms of both durability and performance.",https://media.alshaya.com/adobe/assets/urn:aaid:aem:1bce6d82-e485-4a01-ad4b-4da2cfc83c21/as/SK-J-4945247907179.jpg?width=638&height=638&preferwebp=true,https://www.muji.ae/en/buy-mini-replacement-cutter-blade-w-3-x-d-42-x-h-1-cm-silver-grey.html
"Acrylic Clip Board For A4, W 22 X L 31 Mm",AED 79.00,,,"Clean, simple and premium design of this acrylic clipboard for a4 makes it perfect for any school, office, events, and more. The acrylic board is finely textured so that it does not spoil the smooth writing taste and is inconspicuous even if it is scratched. This clipboard features a dimension of 220 x 310 mm. With rounded corners and smooth surfaces, this pad comes in a clear finish. It is designed from high-grade acrylic resin for excellent performance.",https://media.alshaya.com/adobe/assets/urn:aaid:aem:f18e98c0-930a-45e5-8050-5b515d791113/as/SK-J-4945247134728.jpg?width=638&height=638&preferwebp=true,https://www.muji.ae/en/buy-acrylic-clip-board-a4-w-22-x-l-31-mm-clear.html
"Nylon Mesh Pen Case With Pocket, 8 X 17 Cm, Black",AED 25.00,Black,,"Nylon mesh pen case with pocket helps to protect the valuable items from scratches, dust, and accidental dropping. It has an inner pocket that is convenient for storing small items such as notepads and office accessories. Made of light and durable mesh material that allows you to see the contents and manage them easily. This black coloured pen case features an approximate 8 x 17 cm dimension.",https://media.alshaya.com/adobe/assets/urn:aaid:aem:a6e4f3a0-b0aa-4a54-8504-95ee6a671bb9/as/SK-J-4550182263626.jpg?width=638&height=638&preferwebp=true,https://www.muji.ae/en/buy-nylon-mesh-pen-case-pocket-8-x-17-cm-black-black.html
